CUSTOMER_ID,EMAIL_ID,FIRST_NAME,LAST_NAME,OCCUPATION,AGE,AGE_CATEGORY,TOTAL_ORDERS,REVENUE,AVERAGE_ORDER_VALUE,CARRIAGE_REVENUE,AVERAGESHIPPING,FIRST_ORDER_DATE,LATEST_ORDER_DATE,AVGDAYSBETWEENORDERS,DAYSSINCELASTORDER,MONDAY_ORDERS,TUESDAY_ORDERS,WEDNESDAY_ORDERS,THURSDAY_ORDERS,FRIDAY_ORDERS,SATURDAY_ORDERS,SUNDAY_ORDERS,MONDAY_REVENUE,TUESDAY_REVENUE,WEDNESDAY_REVENUE,THURSDAY_REVENUE,FRIDAY_REVENUE,SATURDAY_REVENUE,SUNDAY_REVENUE,WEEK1_DAY01_DAY07_ORDERS,WEEK2_DAY08_DAY15_ORDERS,WEEK3_DAY16_DAY23_ORDERS,WEEK4_DAY24_DAY31_ORDERS,WEEK1_DAY01_DAY07_REVENUE,WEEK2_DAY08_DAY15_REVENUE,WEEK3_DAY16_DAY23_REVENUE,WEEK4_DAY24_DAY31_REVENUE,TIME_0000_0600_ORDERS,TIME_0601_1200_ORDERS,TIME_1200_1800_ORDERS,TIME_1801_2359_ORDERS,TIME_0000_0600_REVENUE,TIME_0601_1200_REVENUE,TIME_1200_1800_REVENUE,TIME_1801_2359_REVENUE
2333,lisa10@example.net,Brian,Higgins,Student,25,20-29,61,34847.4,571.27,297.5,4.88,03-03-2020,02-09-2021,8.98,53,15,11,9,9,5,3,9,12819.4,5166.31,5877.44,1271.58,1459.05,324.48,7929.13,13,15,19,14,8143.65,5648.08,12946.2,8109.45,11,3,29,18,2293.9,1809.47,17749,12995
2334,jasonmacdonald@example.com,David,Adams,Blue-Collar,41,40-49,59,32487,550.63,218.68,3.71,13-02-2019,23-07-2021,15.1,94,8,12,13,13,10,1,2,3829.95,7853.92,5725.95,6434.95,6855.22,1146.99,640,7,29,13,10,4332.96,11303.9,9094.21,7755.92,7,36,15,1,1350.28,23832.8,6893.93,410
2335,richardsummers@example.com,Leslie,Jones,Clerical,38,30-39,53,24179,456.21,43.97,0.83,15-02-2018,02-09-2021,24.43,53,3,18,5,12,5,9,1,833,5800,3692,6149.98,3162.99,3700,841,9,17,14,13,7964,5904,6431.97,3879,0,34,18,1,0,16031,7996.99,151
2336,elizabethroberson@example.net,Donald,Ayers,Student,18,19 & below,84,18554.5,220.89,421.29,5.02,01-10-2016,20-10-2021,21.96,5,13,7,18,14,6,12,14,3683.21,1280.23,4628.14,2475.87,798.34,2037.93,3650.77,19,18,23,24,4070.74,3757.04,5609.6,5117.11,2,46,22,14,140.98,11795.4,4557.05,2061.06
2337,christina06@example.org,Jeremy,Williams,Student,19,19 & below,26,16885,649.42,54.89,2.11,27-12-2015,17-06-2021,76.88,130,2,4,1,9,2,2,6,1364.49,4030,331,3550.56,2078.99,1767.99,3761.96,6,1,7,12,6113.97,230.59,2265.46,8274.97,13,4,6,3,7700.24,1945,4751.96,2487.79
2338,ryanbarnett@example.org,Laura,Gordon,Clerical,26,20-29,66,16693.8,252.94,324.83,4.92,20-01-2015,23-09-2021,36.94,32,8,15,8,10,16,5,4,1939.42,3162.83,3302.93,2539.38,4107.06,931.95,710.21,16,18,20,12,4613.58,5010.79,4543.53,2525.88,0,23,31,12,0,4989.76,9683.64,2020.38
2339,philiplong@example.org,Linda,Ramirez,Lawyer,49,40-49,81,15999.9,197.53,323.44,3.99,14-07-2017,01-07-2021,17.88,116,10,12,14,19,13,9,4,1888.93,2218.93,3097.88,3861.38,2650.91,1295.93,985.98,14,21,21,25,3129.89,3785.87,4259.88,4824.3,4,22,40,15,610.98,4719.34,7605.73,3063.89
2340,jennifer72@example.com,Tonya,Fritz,Clerical,35,30-39,19,15840.4,833.7,81.86,4.31,07-04-2018,24-08-2021,65,62,0,4,1,2,3,1,8,0,1541.07,830.99,1177.98,3589.98,333.99,8366.35,5,4,6,4,2515.87,2118.97,7291.95,3913.57,2,5,4,8,2835.98,3134.97,2973.07,6896.34
2341,kflores@example.net,Dana,Santos,Blue-Collar,46,40-49,75,14526.7,193.69,130.77,1.74,14-04-2016,05-07-2021,25.44,112,4,15,13,15,18,3,7,1312.49,3172.96,2329.06,2809.53,3097.71,603.99,1200.98,10,29,15,21,2238.97,5770.25,3119.56,3397.94,8,8,17,42,1257.97,1627.47,3885.33,7755.95
2342,douglas40@example.com,Kendra,Brennan,Clerical,24,20-29,47,14309.9,304.47,246.92,5.25,07-12-2018,12-10-2021,22.13,13,8,13,12,7,3,1,3,3051.93,3342.21,3220.9,1785.94,1078.97,492.99,1336.98,9,9,23,6,4108.94,3014.26,5025.78,2160.94,11,20,11,5,2671.9,6531.84,3430.22,1675.96
2343,rochajames@example.com,Jeffery,Armstrong,Clerical,41,40-49,47,14153.6,301.14,134.73,2.87,20-11-2016,10-09-2021,37.34,45,8,5,2,6,9,6,11,2604.43,2173.98,761.99,1578.96,1299.17,2526.97,3208.08,13,13,10,11,2794.51,4001.03,2508.07,4849.97,11,9,8,19,3278.95,2155.55,2074.03,6645.05
2344,millerlauren@example.net,Cynthia,Johnson,Home Maker,32,30-39,79,13776,174.38,213.61,2.7,03-01-2019,09-10-2021,12.78,16,6,10,13,9,9,21,11,1331.16,2224.07,2030.43,746.15,888.78,3552.89,3002.48,14,19,31,15,3113.1,2861.07,4736.54,3065.25,4,35,15,25,893.23,6521.21,2478.25,3883.27
2345,gonzalesgrant@example.net,Brianna,Gibson,Doctor,45,40-49,32,13653.6,426.68,106.82,3.34,07-12-2017,05-07-2021,40.81,112,6,8,4,6,3,2,3,2914.49,3202.25,2004.97,2813.96,1050.98,998.99,667.98,5,8,10,9,2413.48,3668.45,4097.23,3474.46,0,2,18,12,0,331.99,8621.2,4700.43
2346,joshuathompson@example.com,Russell,Clarke,Professional,52,50 and above,57,13355,234.3,192.15,3.37,18-03-2014,23-05-2021,46.02,155,10,6,6,10,8,8,9,1777.49,1908.55,1483.97,2429.89,1963.12,1974.54,1817.44,11,13,20,13,2155.53,2435.26,5066.17,3698.04,1,13,17,26,104.99,2892.55,3422.85,6934.61
2347,jason59@example.net,Kimberly,Murphy,Home Maker,26,20-29,50,13180.8,263.62,133.75,2.68,14-05-2019,11-10-2021,17.62,14,10,9,4,10,9,3,5,3711.72,712.46,430.07,1102.2,2175.45,4642.97,405.98,20,12,7,11,3563.43,2543.79,1762.94,5310.69,11,21,14,4,1978.21,4014.39,4688.77,2499.48
2348,pottercarla@example.net,Sarah,Sullivan,Student,26,20-29,32,13155.9,411.12,64.89,2.03,30-08-2017,03-07-2021,43.84,114,1,7,11,3,1,7,2,660.19,4184.49,3042.97,707.79,792.49,2912.97,854.99,10,7,7,8,2133.96,2266.98,4840.17,3914.78,13,12,7,0,4846.68,5689.44,2619.77,0
2349,shanejames@example.com,Susan,Williams,Home Maker,21,20-29,36,12970,360.28,9.98,0.28,11-11-2019,19-10-2021,19.67,6,3,13,5,4,3,6,2,1085,4719.99,1379,1373,1614,2679,119.99,4,6,16,10,1295,1864.99,5746.99,4063,1,5,9,21,754,2419,3809,5987.98
2350,gjackson@example.org,Jennifer,Gonzalez,Student,18,19 & below,10,12940,1294,0,0,26-08-2020,24-07-2021,33.2,93,1,1,2,1,1,2,2,1200,1305,1945,1250,1485,2700,3055,1,1,5,3,1250,1350,6595,3745,0,2,5,3,0,2555,6200,4185
